Chunk_Index	Arr_Time	Del_Time	Stall_Dur	Rep_Level	Del_Rate	Act_Rate	Byte_Size	Buffer_Level	Codec	Height	Width	 fps	ChunkDur	ChunkStartTime	AvgThr	PlayBackPos
          1	     816	     267	        0	      237	    2468	     165	    82382	        4000	 h264	   180	  320	24.0	    4000	             0	  2468	          0
          2	    1613	     757	        0	      237	    2384	     451	   225611	        7112	 h264	   180	  320	24.0	    4000	          4000	  2415	        680
          3	    2728	    1002	        0	      568	    2388	     598	   299158	       10122	 h264	   288	  512	24.0	    4000	          8000	  2401	       1795
          4	    4385	    1533	        0	     1072	    2361	     905	   452580	       12505	 h264	   360	  640	24.0	    4000	         12000	  2383	       3453
          5	    6714	    2223	        0	     1790	    2771	    1540	   770034	       14174	 h264	   414	  736	24.0	    4000	         16000	  2551	       5784
          6	    8184	    1424	        0	     1790	    4255	    1515	   757405	       16665	 h264	   414	  736	24.0	    4000	         20000	  3266	       7251
          7	    9686	    1408	        0	     2406	    4704	    1656	   827992	       19161	 h264	   720	 1280	24.0	    4000	         24000	  3858	       8755
          8	   11978	    2173	        0	     3072	    4697	    2552	  1275888	       20906	 h264	   720	 1280	24.0	    4000	         28000	  4199	      11052
          9	   15433	    3410	        0	     3072	    4240	    3615	  1807501	       21458	 h264	   720	 1280	24.0	    4000	         32000	  4216	      14500
         10	   19033	    3544	        0	     2406	    3349	    2968	  1484005	       21811	 h264	   720	 1280	24.0	    4000	         36000	  3867	      18105
         11	   22933	    3851	        0	     2406	    3565	    3433	  1716303	       21911	 h264	   720	 1280	24.0	    4000	         40000	  3749	      22006
         12	   27223	    4242	        0	     2406	    3154	    3345	  1672668	       21620	 h264	   720	 1280	24.0	    4000	         44000	  3513	      26296
         13	   31119	    3837	        0	     2406	    3127	    3000	  1499793	       21727	 h264	   720	 1280	24.0	    4000	         48000	  3360	      30190
         14	   35439	    4264	        0	     2406	    2721	    2901	  1450492	       21409	 h264	   720	 1280	24.0	    4000	         52000	  3105	      34507
         15	   38859	    3365	        0	     2406	    2973	    2502	  1250787	       22067	 h264	   720	 1280	24.0	    4000	         56000	  3053	      37933
         16	   41052	    2135	        0	     2406	    3600	    1922	   960951	       23876	 h264	   720	 1280	24.0	    4000	         60000	  3270	      40124
         17	   43423	    2318	        0	     2406	    3358	    1947	   973251	       25428	 h264	   720	 1280	24.0	    4000	         64000	  3302	      42489
         18	   45203	    1736	        0	     2406	    3556	    1544	   771818	       27682	 h264	   720	 1280	24.0	    4000	         68000	  3401	      44276
         19	   47219	    1966	        0	     3072	    3477	    1709	   854687	       29668	 h264	   720	 1280	24.0	    4000	         72000	  3430	      46290
         20	   49355	    2078	        0	     3072	    3278	    1703	   851626	       31529	 h264	   720	 1280	24.0	    4000	         76000	  3369	      48429
         21	   51851	    2440	        0	     3072	    3145	    1919	   959517	       33031	 h264	   720	 1280	24.0	    4000	         80000	  3279	      50916
         22	   54144	    2236	        0	     3072	    3952	    2209	  1104657	       34746	 h264	   720	 1280	24.0	    4000	         84000	  3550	      53212
         23	   56000	    1798	        0	     3072	    3862	    1736	   867987	       36883	 h264	   720	 1280	24.0	    4000	         88000	  3676	      55075
         24	   58053	    2002	        0	     3072	    4004	    2004	  1002121	       38834	 h264	   720	 1280	24.0	    4000	         92000	  3810	      57124
         25	   61505	    3406	        0	     3072	    2797	    2382	  1190935	       39379	 h264	   720	 1280	24.0	    4000	         96000	  3405	      60579
         26	   63094	    1532	        0	     2406	    2475	     948	   474074	       41796	 h264	   720	 1280	24.0	    4000	        100000	  3030	      62162
         27	   69208	    6059	        0	     2406	    2219	    3362	  1680782	       39717	 h264	   720	 1280	24.0	    4000	        104000	  2703	      68283
         28	   76220	    6957	        0	     1790	    2197	    3821	  1910571	       36627	 h264	   414	  736	24.0	    4000	        108000	  2497	      75289
         29	   80850	    4589	        0	     1790	    2419	    2776	  1388163	       36039	 h264	   414	  736	24.0	    4000	        112000	  2463	      79919
         30	   83336	    2430	        0	     1790	    2279	    1385	   692381	       37470	 h264	   414	  736	24.0	    4000	        116000	  2387	      82404
         31	   86514	    3126	        0	     1790	    2637	    2061	  1030510	       38371	 h264	   414	  736	24.0	    4000	        120000	  2486	      85587
         32	   88941	    2372	        0	     2406	    3188	    1890	   945247	       39909	 h264	   720	 1280	24.0	    4000	        124000	  2765	      88007
         33	   91533	    2535	        0	     2406	    2945	    1867	   933287	       41273	 h264	   720	 1280	24.0	    4000	        128000	  2834	      90602
         34	   93315	    1714	        0	     2406	    2668	    1143	   571635	       43532	 h264	   720	 1280	24.0	    4000	        131999	  2764	      92384
         35	   96608	    3235	        0	     2406	    2116	    1712	   855919	       44283	 h264	   720	 1280	24.0	    4000	        136000	  2503	      95675
         36	  101247	    4585	        0	     2406	    2142	    2456	  1227902	       43644	 h264	   720	 1280	24.0	    4000	        140000	  2358	     100314
         37	  103807	    2506	        0	     1790	    1945	    1219	   609383	       45082	 h264	   414	  736	24.0	    4000	        144000	  2192	     102876
         38	  106376	    2521	        0	     1790	    1712	    1080	   539777	       46513	 h264	   414	  736	24.0	    4000	        148000	  1999	     105445
         39	  110735	    4299	        0	     1072	    1813	    1949	   974531	       46151	 h264	   360	  640	24.0	    4000	        152000	  1923	     109807
         40	  115261	    4477	        0	     1072	    1478	    1654	   827238	       45625	 h264	   360	  640	24.0	    4000	        156000	  1743	     114333
         41	  118519	    3204	        0	     1072	    1647	    1320	   659826	       46328	 h264	   360	  640	24.0	    4000	        160000	  1702	     117588
