Chunk_Index	Arr_Time	Del_Time	Stall_Dur	Rep_Level	Del_Rate	Act_Rate	Byte_Size	Buffer_Level	Codec	Height	Width	 fps	ChunkDur	ChunkStartTime	AvgThr	PlayBackPos
          1	     901	     237	        0	      237	    2780	     165	    82382	        4000	 h264	   180	  320	24.0	    4000	             0	  2780	          0
          2	   11560	   10374	        0	     4334	    3313	    8594	  4297176	        8000	 h264	  1080	 1920	24.0	    4000	          4000	  3113	          0
          3	   22396	   10655	     2836	     4334	    1913	    5098	  2549074	        1089	 h264	  1080	 1920	24.0	    4000	          8000	  2501	      10827
          4	   26504	    3936	      108	     4334	    3484	    3429	  1714298	        2308	 h264	  1080	 1920	24.0	    4000	         12000	  2953	      13608
          5	   26969	     270	        0	      237	    2984	     201	   100714	        6119	 h264	   180	  320	24.0	    4000	         16000	  2966	      13714
          6	   27432	     281	        0	      237	    2994	     210	   105190	        9618	 h264	   180	  320	24.0	    4000	         20000	  2978	      14173
          7	   31879	    4260	        0	     4334	    3003	    3199	  1599613	        9245	 h264	  1080	 1920	24.0	    4000	         24000	  2988	      18619
          8	   36982	    4876	        0	     4334	    2742	    3343	  1671676	        8232	 h264	  1080	 1920	24.0	    4000	         28000	  2888	      23726
          9	   43589	    6439	        0	     4334	    3287	    5292	  2645808	        5584	 h264	  1080	 1920	24.0	    4000	         32000	  3049	      30333
         10	   50895	    7103	      391	     4334	    3282	    5829	  2914506	        2281	 h264	  1080	 1920	24.0	    4000	         36000	  3143	      37635
         11	   51539	     476	        0	      237	    3174	     378	   188891	        5594	 h264	   180	  320	24.0	    4000	         40000	  3156	      38281
         12	   58144	    6427	        0	     4334	    3675	    5905	  2952736	        3025	 h264	  1080	 1920	24.0	    4000	         44000	  3365	      44891
         13	   58841	     470	        0	      377	    3963	     466	   232857	        6209	 h264	   216	  384	24.0	    4000	         48000	  3609	      45582
         14	   67315	    8311	      420	     4334	    2486	    5167	  2583661	        1857	 h264	  1080	 1920	24.0	    4000	         52000	  3158	      54059
         15	   75835	    8300	     4520	     4334	    2178	    4521	  2260598	        3222	 h264	  1080	 1920	24.0	    4000	         56000	  2764	      56736
         16	   82017	    5994	     2182	     4334	    2372	    3556	  1777912	        2239	 h264	  1080	 1920	24.0	    4000	         60000	  2606	      61677
         17	   87885	    5673	     1868	     4334	    2562	    3635	  1817342	        1009	 h264	  1080	 1920	24.0	    4000	         64000	  2587	      65657
         18	   91668	    3617	        0	     4334	    3119	    2821	  1410400	        5725	 h264	  1080	 1920	24.0	    4000	         68000	  2801	      66233
         19	   95548	    3690	        0	     4334	    2539	    2343	  1171462	        5839	 h264	  1080	 1920	24.0	    4000	         72000	  2694	      70119
